# type  value  stat. err
v4_L  7.6169046425e-03  4.2698726570e-04
v4(Psi2)  3.5391502455e-04  4.6218015755e-04
rho_422  4.6414339898e-02  6.0668256313e-02
chi_422  3.1800903078e-01  4.1398340722e-01
v5_L  3.6024483755e-03  2.8710829785e-04
v5(Psi23)  9.4432616320e-04  3.7531037903e-04
rho_523  2.5356739065e-01  1.0233089309e-01
chi_523  2.1884765929e+00  8.4853069784e-01
v6_L  9.0423312313e-06  1.0037537437e-06
v6(Psi2)  -4.0217199517e-05  2.1174930018e-04
v6(Psi3)  5.1870294265e-04  2.3545115000e-04
rho_6222  -1.7851257035e-02  9.4004977746e-02
rho_633  2.3023730307e-01  1.0681253986e-01
chi_6222  -7.6803829115e-01  4.0418734304e+00
chi_633  1.3898467391e+00  5.9865252226e-01
