# type  value  stat. err
v4_L  9.1316949337e-03  4.9315511371e-04
v4(Psi2)  4.9179840294e-04  5.4981716856e-04
rho_422  5.3778266358e-02  6.0192081892e-02
chi_422  3.3687347035e-01  3.7500945201e-01
v5_L  4.4617803203e-03  3.3882158948e-04
v5(Psi23)  1.1942413601e-03  4.6514905958e-04
rho_523  2.5855864097e-01  1.0213834474e-01
chi_523  2.0344870512e+00  7.7181713198e-01
v6_L  1.1801647040e-05  1.2838331702e-06
v6(Psi2)  -1.8847092973e-05  2.1794857754e-04
v6(Psi3)  4.2959998066e-04  2.6301369504e-04
rho_6222  -7.2034372245e-03  8.3303401853e-02
rho_633  1.6419489715e-01  1.0161696525e-01
chi_6222  -2.4002229618e-01  2.7753522019e+00
chi_633  8.2824403661e-01  4.9399939536e-01
