# n  vn{4}  vn{4}_err  Cn{4}  Cn{4}_err
1  0.0000000000e+00  0.0000000000e+00  1.8492165559e-08  3.4452600193e-08
2  1.6346259843e-02  2.4980301913e-02  -7.1395952674e-08  4.3642826440e-07
3  0.0000000000e+00  0.0000000000e+00  1.3686669621e-07  1.4947803739e-07
