# n  vn{4}/vn{2}  (vn{4}/vn{2})_err  Fn  Fn_err
# Fn = sqrt((vn{2}^2 - vn{4}^2)/(vn{2}^2 + vn{4}^2))
1  7.0971519403e-01  8.9792740241e-02  5.7443788257e-01  9.9239276243e-02
2  3.0377047315e-01  1.4886196783e+00  7.1497966185e-01  3.2537436148e+00
3  4.9211797543e-03  4.6751207666e-01  8.3011403290e-03  7.8860833126e-01
