# type  value  stat. err
v4_L  1.3547675432e-02  7.3320804407e-04
v4(Psi2)  5.8277968899e-04  8.4384378469e-04
rho_422  4.2977205529e-02  6.2272616853e-02
chi_422  2.4492381853e-01  3.5378664889e-01
v5_L  7.1139426014e-03  4.9298705749e-04
v5(Psi23)  1.7698224087e-03  7.3437642581e-04
rho_523  2.4142321967e-01  1.0124014902e-01
chi_523  1.6627933880e+00  6.7313803996e-01
v6_L  2.3122197924e-05  2.2803056225e-06
v6(Psi2)  9.0909529633e-05  3.3373400560e-04
v6(Psi3)  5.3726565005e-04  3.3329674189e-04
rho_6222  2.3077864386e-02  8.4736580935e-02
rho_633  1.3638772372e-01  8.5182219883e-02
chi_6222  5.6124628428e-01  2.0585938720e+00
chi_633  5.1817780435e-01  3.1287372392e-01
