# type  value  stat. err
v4_L  5.4737653936e-03  3.6527325044e-04
v4(Psi2)  1.3387396886e-03  4.3700289788e-04
rho_422  2.3757167045e-01  7.8858340390e-02
chi_422  1.6758528154e-01  5.2555529543e-02
v5_L  3.5277673233e-03  8.3002823863e-04
v5(Psi23)  -3.7397703982e-03  5.8452141399e-04
rho_523  -7.2742452243e-01  1.2570431783e-01
chi_523  -4.6775112654e+00  6.1691761834e-01
v6_L  1.9298899772e-05  2.2051350650e-06
v6(Psi2)  -5.8129370896e-04  4.3522174554e-04
v6(Psi3)  -3.8508891194e-04  4.2339309808e-04
rho_6222  -1.9289121345e-01  1.4629110671e-01
rho_633  -1.2778439946e-01  1.4134192087e-01
chi_6222  -6.2899829314e-01  4.6049741681e-01
chi_633  -2.8764164326e+00  3.1478452552e+00
