# type  value  stat. err
v4_L  7.8081839498e-04  5.6126028263e-04
v4(Psi2)  1.1110553713e-03  2.5982261849e-04
rho_422  8.1816509790e-01  2.4084704405e-01
chi_422  1.5499879267e+00  2.3780528444e-01
v5_L  nan  nan
v5(Psi23)  2.2421921922e-05  3.5569638910e-04
rho_523  nan  nan
chi_523  2.8163127580e-01  4.4672946145e+00
v6_L  4.6795641984e-06  5.1729074384e-07
v6(Psi2)  2.0480442182e-06  1.9774670013e-04
v6(Psi3)  -8.5317819348e-05  3.3678552035e-04
rho_6222  inf  inf
rho_633  -inf  inf
chi_6222  6.7008852302e-02  6.4699370068e+00
chi_633  -5.1751560033e+00  2.0386605464e+01
