# type  SC{mn}  SC{mn}_err  NSC{mn}  NSC{mn}_err
SC_32  -4.7196149396e-01  2.5199004307e+01  1.0916539475e+00  9.5213438380e+01
SC_42  -4.7190487831e-01  2.5197223546e+01  1.0929282131e+00  9.5319674881e+01
