# type  value  stat. err
v4_L  3.9988940917e-03  3.7540741813e-04
v4(Psi2)  -8.3442987480e-04  4.3546349824e-04
rho_422  -2.0426556184e-01  1.0808072513e-01
chi_422  -3.3506849794e-01  1.7268556867e-01
v5_L  2.1955175263e-03  3.2282486779e-04
v5(Psi23)  1.7382879698e-04  4.9723612955e-04
rho_523  7.8927411258e-02  2.2606134383e-01
chi_523  1.0528202734e+00  3.0093663531e+00
v6_L  9.1604308843e-06  1.1668294398e-06
v6(Psi2)  -6.5555523221e-04  2.9369598767e-04
v6(Psi3)  -9.8020554641e-05  2.9929503110e-04
rho_6222  -6.8912645103e-01  4.6958883650e-01
rho_633  -1.0304022244e-01  3.1903924268e-01
chi_6222  -4.3410955793e+00  1.8933044129e+00
chi_633  -5.1026693424e+00  1.5552331737e+01
