# type  value  stat. err
v4_L  6.9779856098e-03  5.5256074846e-04
v4(Psi2)  -1.9611690053e-03  6.9980889254e-04
rho_422  -2.7056793217e-01  9.8314516530e-02
chi_422  -5.5768169953e-01  1.9333025458e-01
v5_L  4.2215132220e-03  5.2142953239e-04
v5(Psi23)  1.4213392093e-03  7.9337278598e-04
rho_523  3.1908898310e-01  1.8068732341e-01
chi_523  4.3677934608e+00  2.3928078712e+00
v6_L  2.0300853894e-05  2.2574525654e-06
v6(Psi2)  -9.1850338789e-04  3.7638744454e-04
v6(Psi3)  -1.1670609294e-04  4.1123594144e-04
rho_6222  -4.1230612306e-01  1.8561883361e-01
rho_633  -5.2388088440e-02  1.8485749008e-01
chi_6222  -3.6309421311e+00  1.4380615815e+00
chi_633  -2.3227655836e+00  8.1794831758e+00
