# type  value  stat. err
v4_L  1.2116943259e-02  2.9000845523e-03
v4(Psi2)  1.4198693010e-02  1.8432433789e-03
rho_422  7.6066746060e-01  1.1122968581e-01
chi_422  1.0608003863e+00  9.7222619876e-02
v5_L  6.2897349030e-03  1.4600259186e-03
v5(Psi23)  6.2529042152e-03  1.0238308422e-03
rho_523  7.0502736604e-01  1.2964721903e-01
chi_523  1.7703554157e+00  2.5296613964e-01
v6_L  3.1229701591e-05  7.0253988795e-06
v6(Psi2)  2.0444343320e-03  8.5510026459e-04
v6(Psi3)  1.9774935258e-03  6.1477526199e-04
rho_6222  3.5718617833e-01  1.5142754980e-01
rho_633  3.4549085001e-01  1.1003799110e-01
chi_6222  1.1556838369e+00  4.6080943296e-01
chi_633  1.0162856085e+00  2.9573125355e-01
