# n  vn{4}/vn{2}  (vn{4}/vn{2})_err  Fn  Fn_err
# Fn = sqrt((vn{2}^2 - vn{4}^2)/(vn{2}^2 + vn{4}^2))
1  1.2822848658e-01  1.5866254478e+00  3.8461700502e-01  4.4534675054e+00
2  7.6412197073e-01  1.0545190329e-01  5.1245625798e-01  1.2083016519e-01
3  7.2708663063e-01  1.4083907376e-01  5.5512295874e-01  1.5293846385e-01
