# type  SC{mn}  SC{mn}_err  NSC{mn}  NSC{mn}_err
SC_32  -1.3671310410e-02  2.4293448218e-02  -1.2518976569e-02  1.9689504579e-02
SC_42  -1.3702998442e-02  2.4360377196e-02  -1.2547739832e-02  1.9743164983e-02
