# n  vn{4}  vn{4}_err  Cn{4}  Cn{4}_err
1  0.0000000000e+00  0.0000000000e+00  2.3968088411e-08  1.8745019625e-06
2  7.7924762566e-02  1.0908349082e-02  -3.6872446205e-05  2.0646454425e-05
3  2.8021925411e-02  5.0801593855e-03  -6.1658348899e-07  4.4712736225e-07
