# type  value  stat. err
v4_L  8.0229531189e-03  1.8956264624e-03
v4(Psi2)  9.4705478007e-03  1.2019852216e-03
rho_422  7.6301221277e-01  1.0896357010e-01
chi_422  1.2646009046e+00  1.1088248357e-01
v5_L  4.1310693763e-03  9.1926418388e-04
v5(Psi23)  3.9666224109e-03  6.4247087251e-04
rho_523  6.9260413672e-01  1.2696045007e-01
chi_523  2.2241082334e+00  3.1595468018e-01
v6_L  1.3942058902e-05  2.8812400407e-06
v6(Psi2)  1.3025740524e-03  5.0910588315e-04
v6(Psi3)  1.3310313995e-03  4.0490888927e-04
rho_6222  3.5887175239e-01  1.4268669676e-01
rho_633  3.6671202681e-01  1.1472015241e-01
chi_6222  1.7242940552e+00  6.3749714950e-01
chi_633  1.4919250478e+00  4.2538345769e-01
