# type  value  stat. err
v4_L  9.2258899461e-03  1.5381289197e-03
v4(Psi2)  8.9867662190e-03  1.1772229205e-03
rho_422  6.9776265794e-01  9.9686217398e-02
chi_422  9.2485751677e-01  8.2722251179e-02
v5_L  3.6342447929e-03  7.6126065280e-04
v5(Psi23)  2.8330019195e-03  5.5788522002e-04
rho_523  6.1480118231e-01  1.3776905324e-01
chi_523  1.5324446364e+00  2.6223215232e-01
v6_L  1.0865468662e-05  1.6661351616e-06
v6(Psi2)  6.4960897399e-04  2.4693277361e-04
v6(Psi3)  1.0680196299e-03  2.2864589072e-04
rho_6222  2.3791800580e-01  9.4123758211e-02
rho_633  3.9116008350e-01  9.4079810061e-02
chi_6222  5.1239959634e-01  1.7607513035e-01
chi_633  1.3949274157e+00  2.4932858997e-01
