# type  value  stat. err
v4_L  1.1156306237e-02  1.9019119655e-03
v4(Psi2)  1.0888388405e-02  1.4742913115e-03
rho_422  6.9846145355e-01  1.0263629489e-01
chi_422  8.3384093295e-01  7.7070717471e-02
v5_L  4.4095647360e-03  9.2879142106e-04
v5(Psi23)  3.4979652729e-03  6.7736398680e-04
rho_523  6.2147370044e-01  1.3703145778e-01
chi_523  1.3703062284e+00  2.2952200495e-01
v6_L  1.4261728613e-05  2.3334091851e-06
v6(Psi2)  8.0369115164e-04  3.0921612355e-04
v6(Psi3)  1.3469511115e-03  2.7715993532e-04
rho_6222  2.4684524848e-01  9.8668927413e-02
rho_633  4.1370180713e-01  9.6213765658e-02
chi_6222  4.0510241473e-01  1.3987314141e-01
chi_633  1.2334173431e+00  2.0926646560e-01
