# type  value  stat. err
v4_L  2.7549933448e-03  7.6887282058e-04
v4(Psi2)  3.3837987043e-03  4.6295767765e-04
rho_422  7.7547912671e-01  1.2095004955e-01
chi_422  9.8656246826e-01  1.0432954019e-01
v5_L  1.6462818256e-03  3.9873648198e-04
v5(Psi23)  1.7446587217e-04  2.7831874560e-04
rho_523  1.0538556957e-01  1.6999164411e-01
chi_523  4.2851311746e-01  6.8224455802e-01
v6_L  1.2933271482e-05  1.6376780843e-06
v6(Psi2)  -1.6879759938e-04  2.2272994639e-04
v6(Psi3)  2.2247726718e-04  2.7089601978e-04
rho_6222  -2.1942529026e-01  3.6031888155e-01
rho_633  2.8920517299e-01  4.5157067409e-01
chi_6222  -6.9990662732e-01  9.1909744173e-01
chi_633  2.0834356065e+00  2.5200208292e+00
