# type  value  stat. err
v4_L  7.5561162848e-03  1.1370870119e-03
v4(Psi2)  4.7394696387e-03  9.0597459110e-04
rho_422  5.3136051013e-01  1.1308213740e-01
chi_422  8.3093165084e-01  1.1860297315e-01
v5_L  4.3913670980e-03  8.4480829873e-04
v5(Psi23)  3.3351248222e-03  7.1337100193e-04
rho_523  6.0481721587e-01  1.4121546345e-01
chi_523  2.2109702334e+00  3.5024967029e-01
v6_L  1.3632555793e-05  3.1234658223e-06
v6(Psi2)  1.1509111927e-04  4.4345304917e-04
v6(Psi3)  1.0595221009e-03  5.1258847889e-04
rho_6222  3.7459631829e-02  1.4442677783e-01
rho_633  3.4485117588e-01  1.7349130910e-01
chi_6222  2.0193201817e-01  7.7722153795e-01
chi_633  1.3115108815e+00  5.9479297687e-01
