# type  value  stat. err
v4_L  5.2922893604e-03  1.8157520570e-03
v4(Psi2)  7.5280733083e-03  9.3118860814e-04
rho_422  8.1807451793e-01  1.1946476049e-01
chi_422  1.6478464711e+00  1.1974842562e-01
v5_L  2.6655939890e-03  8.9408428739e-04
v5(Psi23)  2.6723607663e-03  5.0072362257e-04
rho_523  7.0800259198e-01  1.6493582054e-01
chi_523  4.3527676952e+00  6.6443414058e-01
v6_L  7.4110889895e-06  1.2297165184e-06
v6(Psi2)  7.4527962826e-04  2.6544194704e-04
v6(Psi3)  -3.2758788831e-04  2.3691826366e-04
rho_6222  4.3557398491e-01  1.7256782508e-01
rho_633  -1.9145667815e-01  1.4239503789e-01
chi_6222  1.8169491544e+00  6.0305619832e-01
chi_633  -2.4259205634e+00  1.7314030042e+00
