# type  value  stat. err
v4_L  4.3012293596e-03  1.4344184409e-03
v4(Psi2)  5.9729471014e-03  7.4999256951e-04
rho_422  8.1148876324e-01  1.2008581578e-01
chi_422  1.8959613611e+00  1.4406794320e-01
v5_L  2.1229739139e-03  7.5819036963e-04
v5(Psi23)  2.1045997188e-03  4.3400197143e-04
rho_523  7.0402685154e-01  1.7882981845e-01
chi_523  5.1135729718e+00  8.9860269263e-01
v6_L  5.3964540722e-06  8.0802847901e-07
v6(Psi2)  5.5476713943e-04  2.2512874457e-04
v6(Psi3)  -3.2712476593e-04  1.8647273849e-04
rho_6222  4.2375412988e-01  1.9198245139e-01
rho_633  -2.4987145182e-01  1.5106715032e-01
chi_6222  2.3494441011e+00  9.0379370450e-01
chi_633  -3.6717206594e+00  2.0486643330e+00
