# type  SC{mn}  SC{mn}_err  NSC{mn}  NSC{mn}_err
SC_32  -5.6695477529e-03  5.4562509602e-03  -5.4755436586e-03  5.0927350190e-03
SC_42  -5.6718425809e-03  5.4595984587e-03  -5.4777632757e-03  5.0959003147e-03
