# type  value  stat. err
v4_L  2.0160114680e-03  4.3372359691e-04
v4(Psi2)  1.4993601465e-03  3.6290467087e-04
rho_422  5.9677316928e-01  1.5827506201e-01
chi_422  1.1641157340e+00  2.4114329697e-01
v5_L  2.0843603358e-03  3.8321010683e-04
v5(Psi23)  1.8801622349e-04  3.3243433703e-04
rho_523  8.9838568997e-02  1.5968246772e-01
chi_523  5.9263958696e-01  1.0458189385e+00
v6_L  7.0869848766e-06  8.8465094520e-07
v6(Psi2)  4.0269481679e-04  2.4374775115e-04
v6(Psi3)  -6.2324474610e-05  3.4551448409e-04
rho_6222  4.4954681473e-01  3.5454591485e-01
rho_633  -6.9575688269e-02  3.8731454241e-01
chi_6222  6.5247111315e+00  3.7185065365e+00
chi_633  -3.7288524684e-01  2.0660887123e+00
