# type  SC{mn}  SC{mn}_err  NSC{mn}  NSC{mn}_err
SC_32  1.7151844856e-02  4.2678520020e-02  1.9095791698e-02  5.3733877458e-02
SC_42  1.7174695960e-02  4.2729477594e-02  1.9121339927e-02  5.3799163486e-02
