# type  value  stat. err
v4_L  1.6061244204e-03  7.7959198610e-04
v4(Psi2)  2.6069280692e-03  2.8426600659e-04
rho_422  8.5138692115e-01  1.3045499967e-01
chi_422  6.5825641728e-01  6.3857839881e-02
v5_L  1.6399426480e-03  2.7550118934e-04
v5(Psi23)  -4.3127136113e-04  2.5470557030e-04
rho_523  -2.5433197633e-01  1.5512771179e-01
chi_523  -5.7536117088e-01  3.3777854889e-01
v6_L  1.2666511447e-05  1.3147052667e-06
v6(Psi2)  -3.1947571318e-04  2.4371615997e-04
v6(Psi3)  -1.0319894056e-04  2.6856425747e-04
rho_6222  -1.4271962821e-01  1.1034564515e-01
rho_633  -4.6102141167e-02  1.2011598272e-01
chi_6222  -1.1152560175e+00  8.4709722859e-01
chi_633  -4.8267522456e-01  1.2551848434e+00
