# cen dN/deta(ch)  v2{2} v2{2}_err
2.5 5.82293e+02 2.49819e-02 1.07381e-03
7.5 4.74816e+02 3.28548e-02 1.37595e-03
15 3.58029e+02 4.77774e-02 1.20343e-03
25 2.49084e+02 5.78600e-02 1.16124e-03
35 1.64871e+02 6.49775e-02 1.39409e-03
45 1.04500e+02 6.39804e-02 1.61048e-03
55 6.30579e+01 5.86686e-02 1.43944e-03
65 3.69447e+01 4.97862e-02 1.33432e-03
75 1.81175e+01 3.70043e-02 1.02569e-03
85 7.45713e+00 1.81689e-02 6.62907e-04
95 2.80884e+00 6.14290e-03 4.02974e-04
