# cen dN/deta(ch)  v2{2} v2{2}_err
2.5 4.09903e+02 2.36689e-02 1.01576e-03
7.5 3.34544e+02 3.11687e-02 1.30369e-03
15 2.52404e+02 4.52673e-02 1.13824e-03
25 1.75985e+02 5.48526e-02 1.09781e-03
35 1.16843e+02 6.16236e-02 1.32035e-03
45 7.43191e+01 6.07380e-02 1.52728e-03
55 4.50072e+01 5.57613e-02 1.36531e-03
65 2.64366e+01 4.73589e-02 1.26886e-03
75 1.30039e+01 3.52470e-02 9.76848e-04
85 5.36265e+00 1.73262e-02 6.33780e-04
95 2.02276e+00 5.78452e-03 3.81608e-04
