# cen dN/deta(ch)  v2{2} v2{2}_err
2.5 4.09903e+02 2.50647e-02 1.07710e-03
7.5 3.34544e+02 3.29801e-02 1.38237e-03
15 2.52404e+02 4.79973e-02 1.20821e-03
25 1.75985e+02 5.82232e-02 1.16635e-03
35 1.16843e+02 6.54875e-02 1.40319e-03
45 7.43191e+01 6.46039e-02 1.62350e-03
55 4.50072e+01 5.93198e-02 1.45396e-03
65 2.64366e+01 5.03721e-02 1.34930e-03
75 1.30039e+01 3.74550e-02 1.03850e-03
85 5.36265e+00 1.83825e-02 6.71915e-04
95 2.02276e+00 6.22190e-03 4.08225e-04
