# cen dN/deta(ch)  v4{2} v4{2}_err
2.5 3.51031e+02 2.93689e-03 4.06142e-04
7.5 2.82451e+02 2.77328e-03 3.28339e-04
15 2.14072e+02 2.91356e-03 3.22368e-04
25 1.49880e+02 3.02361e-03 3.19991e-04
35 1.03021e+02 3.42581e-03 3.25513e-04
45 6.49987e+01 3.65125e-03 2.82691e-04
55 3.80668e+01 4.82261e-03 3.04193e-04
65 1.97249e+01 5.11004e-03 3.48112e-04
75 9.15789e+00 6.61798e-03 4.07362e-04
85 4.10682e+00 6.14770e-03 3.65925e-04
95 1.38806e+00 5.85539e-03 6.11124e-04
