# cen dN/deta(ch)  v5{2} v5{2}_err
2.5 3.51031e+02 1.39327e-03 3.06922e-04
7.5 2.82451e+02 1.91291e-03 3.89536e-04
15 2.14072e+02 1.70215e-03 2.31741e-04
25 1.49880e+02 1.48878e-03 2.17939e-04
35 1.03021e+02 2.19475e-03 2.25262e-04
45 6.49987e+01 2.53574e-03 1.99698e-04
55 3.80668e+01 2.31980e-03 2.34370e-04
65 1.97249e+01 2.87530e-03 3.01459e-04
75 9.15789e+00 2.62958e-03 2.27608e-04
85 4.10682e+00 1.69756e-03 3.20411e-04
95 1.38806e+00 2.30352e-03 3.23393e-04
