# cen dN/deta(ch)  v4{2} v4{2}_err
2.5 8.13308e+02 3.97032e-03 5.23012e-04
7.5 6.55973e+02 3.51708e-03 4.18201e-04
15 4.99696e+02 3.83038e-03 4.49001e-04
25 3.49203e+02 4.17044e-03 4.14766e-04
35 2.39352e+02 4.64712e-03 3.74932e-04
45 1.50239e+02 5.49990e-03 3.66022e-04
55 8.75101e+01 8.04219e-03 4.80345e-04
65 4.51517e+01 9.07578e-03 5.59176e-04
75 2.11100e+01 1.10950e-02 6.54855e-04
85 9.44394e+00 1.03830e-02 6.21715e-04
95 3.32564e+00 9.49697e-03 9.00461e-04
