# cen dN/deta(ch)  <pT>  <pT>_err (charged, pi^+, K^+, p)
2.5 3.51031e+02 5.28395e-01 3.40207e-04 4.31156e-01 3.15801e-04 4.19568e-01 2.50351e-04 6.46071e-01 7.90380e-04 6.48482e-01 8.27404e-04 9.02937e-01 9.73888e-04 9.33848e-01 1.97609e-03
7.5 2.82451e+02 5.24218e-01 3.58538e-04 4.28236e-01 2.96648e-04 4.16851e-01 2.81353e-04 6.37891e-01 8.60756e-04 6.41770e-01 1.11120e-03 8.88863e-01 9.45045e-04 9.14697e-01 2.23330e-03
15 2.14072e+02 5.21355e-01 3.67342e-04 4.26486e-01 2.76366e-04 4.14909e-01 2.72439e-04 6.31957e-01 7.66828e-04 6.35010e-01 7.79223e-04 8.73872e-01 1.17702e-03 9.03285e-01 1.43318e-03
25 1.49880e+02 5.14841e-01 4.36287e-04 4.21656e-01 3.42277e-04 4.10530e-01 2.96799e-04 6.20781e-01 7.97728e-04 6.22381e-01 8.29567e-04 8.53901e-01 1.08229e-03 8.77145e-01 1.61730e-03
35 1.03021e+02 5.06154e-01 7.04977e-04 4.15609e-01 5.55715e-04 4.04662e-01 5.17428e-04 6.06847e-01 1.10446e-03 6.08664e-01 1.22768e-03 8.24892e-01 1.36756e-03 8.50809e-01 2.21892e-03
45 6.49987e+01 4.96498e-01 7.87894e-04 4.08965e-01 5.34437e-04 3.98594e-01 5.00163e-04 5.91108e-01 1.17463e-03 5.92761e-01 1.21424e-03 7.95865e-01 1.87493e-03 8.21894e-01 1.65647e-03
55 3.80668e+01 4.82547e-01 7.59725e-04 3.98391e-01 5.91305e-04 3.88142e-01 5.32416e-04 5.69595e-01 1.14343e-03 5.70312e-01 1.24110e-03 7.59786e-01 1.37756e-03 7.76463e-01 1.82106e-03
65 1.97249e+01 4.72702e-01 4.81461e-04 3.91461e-01 3.69298e-04 3.81841e-01 3.13785e-04 5.54400e-01 7.52595e-04 5.55130e-01 8.30865e-04 7.28246e-01 1.28182e-03 7.49222e-01 1.41647e-03
75 9.15789e+00 4.64437e-01 6.04306e-04 3.84968e-01 4.19338e-04 3.75626e-01 3.90561e-04 5.41108e-01 8.60933e-04 5.40551e-01 9.42720e-04 7.05410e-01 1.12551e-03 7.23855e-01 1.44564e-03
85 4.10682e+00 4.54967e-01 5.54373e-04 3.78062e-01 4.64064e-04 3.69425e-01 4.06284e-04 5.27542e-01 7.52994e-04 5.26296e-01 8.56702e-04 6.81160e-01 1.33814e-03 7.02172e-01 9.58771e-04
95 1.38806e+00 4.40900e-01 8.53786e-04 3.64743e-01 8.22443e-04 3.55899e-01 8.11947e-04 5.06553e-01 1.14032e-03 5.03220e-01 1.25358e-03 6.53276e-01 2.12631e-03 6.57652e-01 2.10859e-03
