# cen dN/deta(ch)  v3{2} v3{2}_err
2.5 3.51031e+02 9.26007e-03 6.42913e-04
7.5 2.82451e+02 1.05654e-02 8.71678e-04
15 2.14072e+02 1.20968e-02 5.65376e-04
25 1.49880e+02 1.07158e-02 5.55830e-04
35 1.03021e+02 1.09934e-02 4.86642e-04
45 6.49987e+01 8.14554e-03 4.15327e-04
55 3.80668e+01 5.85528e-03 3.39821e-04
65 1.97249e+01 3.51723e-03 2.67585e-04
75 9.15789e+00 4.88236e-03 2.96172e-04
85 4.10682e+00 6.63974e-03 4.55451e-04
95 1.38806e+00 8.64673e-03 5.78348e-04
