# cen dN/deta(ch)  v3{2} v3{2}_err
2.5 5.05812e+02 9.23416e-03 6.39931e-04
7.5 4.06804e+02 1.05492e-02 8.77381e-04
15 3.08290e+02 1.20649e-02 5.67509e-04
25 2.15674e+02 1.06536e-02 5.52955e-04
35 1.47998e+02 1.09106e-02 4.82426e-04
45 9.32158e+01 8.08628e-03 4.11563e-04
55 5.44925e+01 5.81298e-03 3.37239e-04
65 2.82129e+01 3.49658e-03 2.64893e-04
75 1.31055e+01 4.82257e-03 2.89026e-04
85 5.87640e+00 6.54679e-03 4.49376e-04
95 1.98632e+00 8.49018e-03 5.65551e-04
