# type  SC{mn}  SC{mn}_err  NSC{mn}  NSC{mn}_err
SC_32  7.5351989917e-03  5.1912682146e-03  7.8854340913e-03  5.6774113164e-03
SC_42  7.5580376068e-03  5.2066225815e-03  7.9093778136e-03  5.6942814328e-03
