# type  value  stat. err
v4_L  8.2105545874e-03  1.9437700791e-03
v4(Psi2)  9.5957448193e-03  1.3185521727e-03
rho_422  7.5981853676e-01  1.1422867710e-01
chi_422  1.1835070673e+00  1.1209736715e-01
v5_L  4.3013846281e-03  6.6628515045e-04
v5(Psi23)  3.1243913011e-03  5.0202274434e-04
rho_523  5.8769321479e-01  1.0679185889e-01
chi_523  2.1895799859e+00  3.0351490296e-01
v6_L  1.0777096310e-05  7.0996470535e-06
v6(Psi2)  1.7609906847e-03  6.6150169101e-04
v6(Psi3)  9.1608748285e-04  3.7526568448e-04
rho_6222  4.3556437285e-01  1.6978753177e-01
rho_633  2.2658556539e-01  9.5770937349e-02
chi_6222  2.2005830299e+00  7.7395473244e-01
chi_633  1.1203486581e+00  4.3309667932e-01
