# type  value  stat. err
v4_L  6.0869367314e-03  4.0630659470e-03
v4(Psi2)  1.1308615958e-02  1.5571151954e-03
rho_422  8.8054643199e-01  1.5263044401e-01
chi_422  1.4751726380e+00  1.3726093327e-01
v5_L  3.8701079929e-03  7.4190009580e-04
v5(Psi23)  3.4505247199e-03  5.4702774145e-04
rho_523  6.6548666424e-01  1.1831866557e-01
chi_523  2.9575564233e+00  4.1549421556e-01
v6_L  9.6035758094e-06  5.0910317864e-06
v6(Psi2)  1.9994724235e-03  7.1651124966e-04
v6(Psi3)  7.1178018164e-04  2.3833239838e-04
rho_6222  5.8908241463e-01  2.1959647250e-01
rho_633  2.0970391146e-01  7.3446002596e-02
chi_6222  2.5236740427e+00  8.2823282072e-01
chi_633  1.3613014627e+00  4.2944806492e-01
