# type  value  stat. err
v4_L  5.0062237158e-03  3.3185079572e-03
v4(Psi2)  9.2781454901e-03  1.2648177181e-03
rho_422  8.8006297925e-01  1.5186554471e-01
chi_422  1.6791942236e+00  1.5350936682e-01
v5_L  3.1804862320e-03  6.0694250232e-04
v5(Psi23)  2.8364248152e-03  4.4272941616e-04
rho_523  6.6558543158e-01  1.1696162430e-01
chi_523  3.4553331768e+00  4.7646390401e-01
v6_L  7.2074259469e-06  3.3906331947e-06
v6(Psi2)  1.5599449125e-03  6.3584111552e-04
v6(Psi3)  6.2378708687e-04  1.9446561037e-04
rho_6222  5.7316741025e-01  2.4177193281e-01
rho_633  2.2919683013e-01  7.5661401599e-02
chi_6222  3.1854068387e+00  1.2151509600e+00
chi_633  1.7457508709e+00  5.0749924839e-01
