# type  value  stat. err
v4_L  2.3946443088e-03  5.0373394113e-04
v4(Psi2)  2.4559230983e-03  2.9579523314e-04
rho_422  7.1598275677e-01  1.0426065962e-01
chi_422  4.4948058784e-01  4.5471120950e-02
v5_L  2.2877939343e-03  3.1502823221e-04
v5(Psi23)  -1.0748085990e-03  2.9233155182e-04
rho_523  -4.2521384260e-01  1.2344520531e-01
chi_523  -1.5055666524e+00  3.9776567050e-01
v6_L  9.0400325626e-06  9.9658833444e-07
v6(Psi2)  1.6377215498e-04  2.8868115195e-04
v6(Psi3)  -1.4892564075e-04  2.7681078468e-04
rho_6222  9.6423423835e-02  1.7080475619e-01
rho_633  -8.7682305817e-02  1.6370057202e-01
chi_6222  3.3909327588e-01  5.9680899141e-01
chi_633  -8.1120676118e-01  1.5051062288e+00
