# type  value  stat. err
v4_L  8.7309776546e-04  9.8640229253e-04
v4(Psi2)  1.0186542734e-03  4.3755567737e-04
rho_422  7.5926929703e-01  4.5054923455e-01
chi_422  4.7393403693e+00  1.2835797422e+00
v5_L  8.6457765427e-04  1.8271136863e-03
v5(Psi23)  7.7848085634e-04  1.8725616529e-03
rho_523  6.6913613169e-01  1.6374192414e+00
chi_523  8.1830685349e+00  1.9322256903e+01
v6_L  9.5787654127e-06  1.8823926657e-06
v6(Psi2)  2.5539102655e-04  8.9912856395e-04
v6(Psi3)  -2.1395469534e-05  2.0014491746e-03
rho_6222  1.7967195021e-01  6.3965147579e-01
rho_633  -1.5052078331e-02  1.4080761949e+00
chi_6222  3.7874352740e+01  1.3219376278e+02
chi_633  -4.4193917299e-01  4.1340907525e+01
