# cen dN/deta(ch)  v5{2} v5{2}_err
2.5 8.77708e+02 4.13783e-03 5.95738e-04
7.5 7.18143e+02 4.60558e-03 6.44576e-04
15 5.30183e+02 5.64554e-03 3.52015e-04
25 3.48767e+02 6.23235e-03 4.84869e-04
35 2.27930e+02 6.01562e-03 3.76931e-04
45 1.38496e+02 7.05074e-03 4.33396e-04
55 8.08241e+01 5.99188e-03 3.70607e-04
65 4.68553e+01 5.36802e-03 4.65085e-04
75 2.54571e+01 5.40307e-03 3.20804e-04
85 1.21298e+01 5.59279e-03 4.67948e-04
95 3.75757e+00 5.40570e-03 8.61479e-04
