# cen dN/deta(ch)  dN/deta(ch)_err  dN/dy dN/dy_err(pi^+, pi^-, K^+, K^-, p, pbar)
2.5 8.77708e+02 8.91305e+00 4.04050e+02 4.12510e+00 4.08517e+02 4.16691e+00 6.85495e+01 6.84971e-01 6.63336e+01 6.81073e-01 4.17155e+01 3.93250e-01 3.42171e+01 3.27205e-01
7.5 7.18143e+02 6.01729e+00 3.30381e+02 2.75164e+00 3.33792e+02 2.80681e+00 5.61920e+01 4.82857e-01 5.44539e+01 4.78684e-01 3.47149e+01 2.91240e-01 2.86920e+01 2.25312e-01
15 5.30183e+02 6.74149e+00 2.43994e+02 3.12273e+00 2.46439e+02 3.14304e+00 4.18298e+01 5.26387e-01 4.03336e+01 5.06924e-01 2.64504e+01 2.99673e-01 2.17273e+01 2.55649e-01
25 3.48767e+02 4.28659e+00 1.60750e+02 1.96113e+00 1.62337e+02 1.99251e+00 2.76593e+01 3.35735e-01 2.67087e+01 3.24002e-01 1.78707e+01 2.17759e-01 1.51112e+01 1.65105e-01
35 2.27930e+02 2.79386e+00 1.05250e+02 1.28385e+00 1.06159e+02 1.28117e+00 1.81494e+01 2.20862e-01 1.75793e+01 2.18566e-01 1.22040e+01 1.37695e-01 1.03378e+01 1.22039e-01
45 1.38496e+02 2.04764e+00 6.40601e+01 9.45720e-01 6.45494e+01 9.52179e-01 1.10364e+01 1.63302e-01 1.07137e+01 1.59127e-01 7.72018e+00 1.06103e-01 6.71104e+00 8.81243e-02
55 8.08241e+01 1.24801e+00 3.75072e+01 5.80746e-01 3.77468e+01 5.85581e-01 6.44266e+00 9.96598e-02 6.30164e+00 9.84567e-02 4.71207e+00 6.73604e-02 4.21700e+00 5.79196e-02
65 4.68553e+01 8.03996e-01 2.16931e+01 3.71497e-01 2.18103e+01 3.72890e-01 3.72871e+00 6.44943e-02 3.64583e+00 6.38990e-02 2.91237e+00 4.63871e-02 2.62922e+00 4.13981e-02
75 2.54571e+01 4.23490e-01 1.17180e+01 1.96855e-01 1.17814e+01 1.97775e-01 2.00020e+00 3.35771e-02 1.96039e+00 3.27606e-02 1.71347e+00 2.84126e-02 1.56217e+00 2.38619e-02
85 1.21298e+01 3.17543e-01 5.54108e+00 1.45959e-01 5.56844e+00 1.47351e-01 9.44652e-01 2.54378e-02 9.26077e-01 2.47061e-02 8.96245e-01 2.28131e-02 8.25413e-01 1.94597e-02
95 3.75757e+00 2.12809e-01 1.70965e+00 9.67602e-02 1.71727e+00 9.72250e-02 2.85449e-01 1.66478e-02 2.79875e-01 1.64552e-02 3.15406e-01 1.67468e-02 2.90748e-01 1.55113e-02
