# cen dN/deta(ch)  v3{2} v3{2}_err
2.5 2.46481e+03 2.84657e-02 2.01715e-03
7.5 2.02232e+03 3.47225e-02 2.54203e-03
15 1.48844e+03 3.84483e-02 2.04505e-03
25 9.72168e+02 3.74120e-02 1.88579e-03
35 6.29854e+02 4.18416e-02 1.95512e-03
45 3.80325e+02 4.77637e-02 2.31870e-03
55 2.18485e+02 4.28420e-02 2.04434e-03
65 1.26458e+02 3.81743e-02 1.82347e-03
75 6.90071e+01 3.70312e-02 2.02677e-03
85 3.27898e+01 3.73591e-02 2.21906e-03
95 1.08114e+01 2.11399e-02 3.38919e-03
