# type  value  stat. err
v4_L  1.6706728256e-02  2.7815917061e-03
v4(Psi2)  1.6965062870e-02  1.9481377742e-03
rho_422  7.1251083220e-01  9.1543220037e-02
chi_422  8.0827006781e-01  6.9250143960e-02
v5_L  5.6770693163e-03  1.9498387578e-03
v5(Psi23)  9.4615939380e-03  7.9864464934e-04
rho_523  8.5748840945e-01  9.2111049779e-02
chi_523  1.5164272878e+00  7.7256595874e-02
v6_L  2.5720505864e-05  3.8812229850e-06
v6(Psi2)  1.6503405363e-03  4.9117791927e-04
v6(Psi3)  1.5797136753e-03  5.1227458108e-04
rho_6222  3.6051497440e-01  1.1212675911e-01
rho_633  3.4508661859e-01  1.1616305685e-01
chi_6222  4.3294028128e-01  1.1781955167e-01
chi_633  4.9805414818e-01  1.4963605737e-01
