# type  value  stat. err
v4_L  5.0275522524e-04  6.8861758037e-04
v4(Psi2)  9.3128044275e-04  1.9375600761e-04
rho_422  8.7995920276e-01  2.9563905523e-01
chi_422  1.7274561072e+00  3.3921808859e-01
v5_L  7.2692207588e-04  3.8305763209e-04
v5(Psi23)  4.7510270015e-04  2.8014386315e-04
rho_523  5.4709406765e-01  3.6817071875e-01
chi_523  1.3197122318e+01  7.2339794124e+00
v6_L  4.2955253816e-06  6.5476473106e-07
v6(Psi2)  2.6716689860e-04  1.4211262631e-04
v6(Psi3)  1.3301992971e-04  2.5489268609e-04
rho_6222  inf  inf
rho_633  inf  inf
chi_6222  2.0085069514e+01  1.0533850923e+01
chi_633  2.0766944652e+01  3.8952513336e+01
