# type  value  stat. err
v4_L  2.0475775283e-03  5.2747977351e-04
v4(Psi2)  1.7755759164e-03  3.5855036268e-04
rho_422  6.5514306005e-01  1.5348624161e-01
chi_422  1.1724554290e+00  2.2321564557e-01
v5_L  1.4941146524e-03  4.2177889273e-04
v5(Psi23)  4.1334906752e-05  4.6804588120e-04
rho_523  2.7654569686e-02  3.1323692948e-01
chi_523  4.5218322291e-01  5.1196534684e+00
v6_L  1.1040985478e-05  2.2164415128e-06
v6(Psi2)  -7.5015847009e-06  2.0295565607e-04
v6(Psi3)  -2.5168838134e-04  4.7942475101e-04
rho_6222  -inf  inf
rho_633  -inf  inf
chi_6222  -1.2388750276e-01  3.3517631817e+00
chi_633  -1.8297523921e+01  3.4170692439e+01
