# type  value  stat. err
v4_L  8.0019828997e-03  1.5448759763e-03
v4(Psi2)  -4.9493290990e-03  1.3421658460e-03
rho_422  -5.2602576259e-01  1.5551905440e-01
chi_422  -3.2444755686e+00  7.7905178920e-01
v5_L  3.5268634440e-03  6.0586456376e-04
v5(Psi23)  2.3735394619e-04  7.6873109547e-04
rho_523  6.7146988942e-02  2.1777333236e-01
chi_523  1.3333836813e+00  4.3137808951e+00
v6_L  2.4322963188e-05  8.2088857011e-06
v6(Psi2)  -7.5224062260e-04  6.3870674135e-04
v6(Psi3)  5.0502796336e-04  1.0462037144e-03
rho_6222  -inf  inf
rho_633  inf  inf
chi_6222  -9.6108484507e+00  7.9996094194e+00
chi_633  1.0961420440e+01  2.2614170352e+01
