# cen dN/deta(ch)  <pT>  <pT>_err (charged, pi^+, K^+, p)
2.5 2.17033e+01 5.78355e-01 2.74928e-03 4.54871e-01 2.74819e-03 4.54182e-01 2.68576e-03 6.55866e-01 2.86648e-03 6.54546e-01 2.90961e-03 9.74957e-01 3.78611e-03 9.74893e-01 4.15170e-03
7.5 1.72114e+01 5.58966e-01 2.16266e-03 4.38262e-01 1.83527e-03 4.37460e-01 1.85620e-03 6.32873e-01 2.08291e-03 6.31505e-01 1.94676e-03 9.41618e-01 3.59902e-03 9.37447e-01 2.33760e-03
15 1.47919e+01 5.52670e-01 1.53993e-03 4.33198e-01 1.45891e-03 4.32066e-01 1.45345e-03 6.25423e-01 1.41141e-03 6.23927e-01 1.34436e-03 9.25383e-01 1.21239e-03 9.26940e-01 1.30398e-03
25 1.27899e+01 5.49774e-01 1.52294e-03 4.31716e-01 1.30681e-03 4.30692e-01 1.32189e-03 6.18454e-01 1.30847e-03 6.17378e-01 1.30630e-03 9.12991e-01 1.94769e-03 9.12002e-01 2.09773e-03
35 1.13069e+01 5.43462e-01 1.59592e-03 4.26594e-01 1.54423e-03 4.25621e-01 1.51786e-03 6.08533e-01 1.32197e-03 6.07450e-01 1.17272e-03 8.95659e-01 2.19872e-03 8.95445e-01 1.25194e-03
45 1.00661e+01 5.34631e-01 1.56812e-03 4.18957e-01 1.33021e-03 4.18183e-01 1.33639e-03 5.99630e-01 1.46986e-03 5.98138e-01 1.42401e-03 8.81579e-01 1.72724e-03 8.81345e-01 2.05971e-03
55 8.59730e+00 5.31870e-01 1.98601e-03 4.17105e-01 1.85180e-03 4.16229e-01 1.88997e-03 5.92496e-01 1.70567e-03 5.91253e-01 1.42811e-03 8.73168e-01 2.56425e-03 8.69359e-01 1.72443e-03
65 6.89170e+00 5.31921e-01 3.46755e-03 4.18267e-01 3.55119e-03 4.17765e-01 3.55214e-03 5.84842e-01 2.27236e-03 5.83116e-01 2.22624e-03 8.59461e-01 2.35686e-03 8.54533e-01 2.59535e-03
75 4.93561e+00 5.18340e-01 3.33027e-03 4.06166e-01 3.33454e-03 4.05514e-01 3.41919e-03 5.68767e-01 2.72196e-03 5.66719e-01 2.46160e-03 8.31541e-01 3.48560e-03 8.27409e-01 2.41019e-03
85 2.97092e+00 5.01097e-01 2.68080e-03 3.89475e-01 2.72685e-03 3.88980e-01 2.69881e-03 5.48336e-01 2.26356e-03 5.46755e-01 2.11151e-03 8.04433e-01 3.77432e-03 7.98170e-01 2.39952e-03
95 1.37510e+00 5.10231e-01 1.85501e-03 3.91391e-01 1.92894e-03 3.90836e-01 1.94180e-03 5.53702e-01 1.67771e-03 5.49841e-01 1.39307e-03 8.15899e-01 4.55946e-03 7.97924e-01 1.63763e-03
