# cen dN/deta(ch)  v4{2} v4{2}_err
2.5 3.11029e+01 8.84474e-03 6.70078e-04
7.5 2.47348e+01 9.19317e-03 7.51684e-04
15 2.12919e+01 9.27294e-03 4.57318e-04
25 1.83703e+01 1.00854e-02 6.06908e-04
35 1.62236e+01 9.76278e-03 6.91768e-04
45 1.44408e+01 8.49947e-03 4.70790e-04
55 1.23054e+01 9.92472e-03 7.51522e-04
65 9.83950e+00 9.14354e-03 5.96464e-04
75 7.04777e+00 8.13008e-03 5.46634e-04
85 4.24117e+00 7.44256e-03 6.01526e-04
95 1.96042e+00 6.68653e-03 6.08209e-04
