# cen dN/deta(ch)  v5{2} v5{2}_err
2.5 2.17033e+01 5.29308e-03 4.21695e-04
7.5 1.72114e+01 5.32259e-03 6.20510e-04
15 1.47919e+01 5.23962e-03 3.45316e-04
25 1.27899e+01 5.71748e-03 4.19468e-04
35 1.13069e+01 6.05945e-03 4.35768e-04
45 1.00661e+01 6.07204e-03 5.16542e-04
55 8.59730e+00 5.33982e-03 3.54366e-04
65 6.89170e+00 4.39255e-03 4.39415e-04
75 4.93561e+00 3.98029e-03 7.15465e-04
85 2.97092e+00 4.06992e-03 6.30431e-04
95 1.37510e+00 4.48473e-03 6.98686e-04
