# cen dN/deta(ch)  v3{2} v3{2}_err
2.5 5.49848e+01 4.02475e-02 2.02703e-03
7.5 4.66110e+01 4.40627e-02 3.00540e-03
15 4.12381e+01 3.63215e-02 1.86067e-03
25 3.55304e+01 3.98086e-02 2.07653e-03
35 3.17632e+01 3.80584e-02 2.00029e-03
45 2.81133e+01 3.74378e-02 1.98733e-03
55 2.32804e+01 3.27814e-02 1.73899e-03
65 1.84463e+01 3.09417e-02 1.93834e-03
75 1.33664e+01 2.57113e-02 2.00632e-03
85 8.11515e+00 1.38077e-02 1.09826e-03
95 3.96058e+00 1.52972e-02 2.23893e-03
