# type  value  stat. err
v4_L  1.4341846528e-02  1.5891645301e-03
v4(Psi2)  1.0734726760e-02  1.3426247084e-03
rho_422  5.9922596934e-01  8.1877168077e-02
chi_422  8.8028187671e-01  7.8580776825e-02
v5_L  7.1030656526e-03  1.0311673492e-03
v5(Psi23)  6.4548121331e-03  6.6158615274e-04
rho_523  6.7252901105e-01  8.1479436118e-02
chi_523  1.6052086313e+00  1.2736959964e-01
v6_L  3.8838826598e-05  5.6122701653e-06
v6(Psi2)  1.2902442733e-03  5.2873102242e-04
v6(Psi3)  2.0713253312e-03  5.7234145704e-04
rho_6222  2.1028072610e-01  8.7585656047e-02
rho_633  3.3757932793e-01  9.6614278803e-02
chi_6222  7.2901650151e-01  2.8393208892e-01
chi_633  7.9160038263e-01  2.0549701126e-01
