# type  value  stat. err
v4_L  7.7553837974e-03  8.8633510823e-04
v4(Psi2)  5.9898990763e-03  7.3460156234e-04
rho_422  6.1126234589e-01  8.2157621363e-02
chi_422  1.2283764451e+00  1.0493872839e-01
v5_L  3.6907297786e-03  5.7724545105e-04
v5(Psi23)  3.4760276657e-03  3.5587366523e-04
rho_523  6.8561564153e-01  8.4068771308e-02
chi_523  2.4379559260e+00  1.9645525682e-01
v6_L  1.1796537009e-05  1.6657806415e-06
v6(Psi2)  7.9080109974e-04  2.9590961988e-04
v6(Psi3)  8.6042402298e-04  2.9120985844e-04
rho_6222  2.6156095700e-01  1.0066403781e-01
rho_633  2.8458904642e-01  9.9665613421e-02
chi_6222  1.7462911296e+00  6.1377377699e-01
chi_633  1.0439716812e+00  3.3993684170e-01
