# type  value  stat. err
v4_L  1.5657791093e-02  2.2481467416e-03
v4(Psi2)  1.2894501466e-02  1.8754452497e-03
rho_422  6.3570284566e-01  1.0055276190e-01
chi_422  8.3340151099e-01  9.4039357307e-02
v5_L  7.9408241138e-03  1.4969738869e-03
v5(Psi23)  8.2245589447e-03  9.4478048492e-04
rho_523  7.1940711427e-01  9.6339378787e-02
chi_523  1.8467696819e+00  1.0019876549e-01
v6_L  3.4847037761e-05  5.1464272064e-06
v6(Psi2)  1.5107035868e-03  7.7104266661e-04
v6(Psi3)  7.8963462235e-04  5.3165307665e-04
rho_6222  2.5236559845e-01  1.2985613455e-01
rho_633  1.3190980399e-01  8.9231159196e-02
chi_6222  5.5729346652e-01  2.7511794009e-01
chi_633  2.9222676240e-01  1.8855406211e-01
