# type  value  stat. err
v4_L  2.7498454418e-03  5.2686119093e-04
v4(Psi2)  2.0120306762e-03  3.8373415969e-04
rho_422  5.9050017816e-01  1.2872868919e-01
chi_422  6.8235496403e-01  8.9209795024e-02
v5_L  1.5810765010e-03  5.1776821929e-04
v5(Psi23)  3.5726306599e-04  2.7539543352e-04
rho_523  2.2040514785e-01  1.8306632198e-01
chi_523  1.1145654627e+00  8.5410973551e-01
v6_L  1.2025727142e-05  1.2607544411e-06
v6(Psi2)  5.5022660111e-04  2.6405294496e-04
v6(Psi3)  -3.6044838749e-04  2.4338060678e-04
rho_6222  7.7744311067e-01  1.0610006191e+00
rho_633  -5.0929583383e-01  7.3594653108e-01
chi_6222  2.5013866871e+00  1.0067920064e+00
chi_633  -4.1356969638e+00  2.6906106506e+00
