# cen dN/deta(ch)  v3{2} v3{2}_err
2.5 2.01117e+01 6.55015e-03 4.83136e-04
7.5 1.61516e+01 5.66424e-03 5.01879e-04
15 1.42360e+01 4.88537e-03 3.74701e-04
25 1.24951e+01 4.49263e-03 3.39834e-04
35 1.11871e+01 3.76088e-03 3.16508e-04
45 9.62993e+00 3.37388e-03 2.73864e-04
55 8.08536e+00 1.73401e-03 3.11225e-04
65 6.80684e+00 2.12392e-03 2.74736e-04
75 5.11844e+00 1.54947e-03 4.35385e-04
85 3.16902e+00 1.78556e-03 6.98432e-04
95 1.42014e+00 5.66499e-03 1.29947e-03
