# type  value  stat. err
v4_L  3.2989649053e-03  4.5781955936e-04
v4(Psi2)  -1.8095217942e-03  4.2622846884e-04
rho_422  -4.8091679203e-01  1.2156405788e-01
chi_422  -8.4064315274e-01  1.7114743534e-01
v5_L  5.3228320990e-04  7.7560715594e-04
v5(Psi23)  -2.0829584765e-04  4.5868474803e-04
rho_523  -3.6441620969e-01  9.1905185784e-01
chi_523  -2.0218996712e+00  4.4379378075e+00
v6_L  6.9449404748e-06  1.0207745820e-06
v6(Psi2)  -5.1335833684e-04  3.0850143823e-04
v6(Psi3)  -2.0409253505e-04  6.5142922865e-04
rho_6222  -9.7985987067e-01  1.3871286165e+00
rho_633  -3.8955651568e-01  1.3399098652e+00
chi_6222  -3.8278038634e+00  2.1950751686e+00
chi_633  -1.4660726160e+01  4.6652269411e+01
