# type  value  stat. err
v4_L  3.9900808317e-03  3.3503896584e-04
v4(Psi2)  -1.1000966269e-03  3.5993379227e-04
rho_422  -2.6579084175e-01  8.9190399700e-02
chi_422  -4.9084580675e-01  1.5785947998e-01
v5_L  3.1004579157e-03  3.2371533811e-04
v5(Psi23)  -2.6129494459e-04  3.0892435694e-04
rho_523  -8.3978542454e-02  9.9664863518e-02
chi_523  -1.6600190199e+00  1.9543230019e+00
v6_L  7.1869104319e-06  7.6043705717e-07
v6(Psi2)  -5.2991138507e-04  2.0845607415e-04
v6(Psi3)  -1.0461573040e-04  2.7007748737e-04
rho_6222  -4.1520418902e-01  1.8927228242e-01
rho_633  -8.1970100519e-02  2.1245582311e-01
chi_6222  -4.1572291481e+00  1.5971417734e+00
chi_633  -5.8365728596e+00  1.5043901557e+01
