# type  SC{mn}  SC{mn}_err  NSC{mn}  NSC{mn}_err
SC_32  4.0695706064e-03  2.4988885692e-03  4.1700473121e-03  2.6191908817e-03
SC_42  4.0739006151e-03  2.5015405234e-03  4.1744839018e-03  2.6219700846e-03
