# type  value  stat. err
v4_L  8.4768235110e-03  6.7258577824e-04
v4(Psi2)  -3.2727474184e-03  7.3125936624e-04
rho_422  -3.6017051057e-01  8.3582012724e-02
chi_422  -8.4045744830e-01  1.8031547454e-01
v5_L  6.4795099467e-03  5.6267904979e-04
v5(Psi23)  8.6770640686e-04  7.5110811364e-04
rho_523  1.3273057412e-01  1.1543374061e-01
chi_523  2.2310456809e+00  1.9219778974e+00
v6_L  2.0084702928e-05  2.2193505150e-06
v6(Psi2)  -1.1339497462e-03  3.3553942722e-04
v6(Psi3)  -3.9401415036e-04  4.1317120877e-04
rho_6222  -3.7636890198e-01  1.1900500283e-01
rho_633  -1.3077711215e-01  1.3790775477e-01
chi_6222  -3.8779952319e+00  1.0955296679e+00
chi_633  -6.0505180578e+00  6.2954481351e+00
