# type  value  stat. err
v4_L  1.0460167085e-02  1.4325462513e-03
v4(Psi2)  9.0062736294e-03  1.1688615550e-03
rho_422  6.5247768729e-01  9.2219733951e-02
chi_422  8.6760509885e-01  7.3541790942e-02
v5_L  4.4781129568e-03  5.3256232876e-04
v5(Psi23)  3.0172595075e-03  4.8101440914e-04
rho_523  5.5877714583e-01  9.6180296509e-02
chi_523  1.5034498520e+00  2.1454647287e-01
v6_L  1.6365733053e-05  2.6345190380e-06
v6(Psi2)  9.2187478312e-04  3.9085409849e-04
v6(Psi3)  1.3936992598e-03  3.6956507559e-04
rho_6222  2.3701760086e-01  1.0222729766e-01
rho_633  3.5832551333e-01  9.9161680755e-02
chi_6222  7.0386229780e-01  2.8122493466e-01
chi_633  1.5806278850e+00  3.5675796406e-01
