# n  vn{4}/vn{2}  (vn{4}/vn{2})_err  Fn  Fn_err
# Fn = sqrt((vn{2}^2 - vn{4}^2)/(vn{2}^2 + vn{4}^2))
1  5.2797874832e-01  2.7944736825e-01  7.5051741955e-01  2.3461487193e-01
2  7.7916405763e-01  5.6000880298e-02  4.9441326757e-01  6.8365313959e-02
3  8.5991666542e-02  1.3969713769e+00  2.7300872603e-01  4.1148812200e+00
