# type  SC{mn}  SC{mn}_err  NSC{mn}  NSC{mn}_err
SC_32  1.2791580751e-02  4.8386133889e-03  1.3832148961e-02  5.6076837019e-03
SC_42  1.2795876501e-02  4.8396806076e-03  1.3836911116e-02  5.6090491034e-03
