# type  value  stat. err
v4_L  2.5903974447e-03  4.6995225815e-03
v4(Psi2)  1.7288587156e-03  3.6893697359e-03
rho_422  5.5512850768e-01  1.3249783306e+00
chi_422  8.0399469839e+00  1.6988075029e+01
v5_L  nan  nan
v5(Psi23)  -5.2256285260e-03  2.1050875723e-02
rho_523  -1.2129126287e+00  4.9835957819e+00
chi_523  -4.8239849045e+01  1.9164381967e+02
v6_L  -2.5918341692e-02  5.3016699847e-02
v6(Psi2)  1.4207557483e-02  2.2260325568e-02
v6(Psi3)  -4.1898818700e-03  8.3924467513e-03
rho_6222  3.0295287675e+00  5.0521282019e+00
rho_633  -8.9342363548e-01  1.8608657356e+00
chi_6222  7.1362651025e+03  7.7068988008e+03
chi_633  -5.4175427216e+01  1.0434731512e+02
